id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,tienda,total_venta,fuente
1,2026-04-01,101,2001,2,150000.0,Santiago,300000.0,POS
2,2026-04-01,102,2002,1,300000.0,Providencia,300000.0,POS
3,2026-04-02,103,2003,1,50000.0,Maipu,50000.0,POS
4,2026-04-02,101,2001,1,150000.0,Las Condes,150000.0,POS
5,2026-04-03,104,2004,3,20000.0,La Florida,60000.0,POS
6,2026-04-03,105,2002,2,300000.0,Puente Alto,600000.0,POS
7,2026-04-04,106,2005,1,80000.0,Ñuñoa,80000.0,POS
8,2026-04-04,107,2003,2,50000.0,Santiago,100000.0,POS
9,2026-04-05,108,2006,1,120000.0,Providencia,120000.0,POS
10,2026-04-05,109,2001,1,150000.0,Maipu,150000.0,POS
